rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,train/approx_kl,train/loss,train/entropy_loss,train/explained_variance,train/clip_range,train/n_updates,train/clip_fraction,train/std,train/learning_rate,train/value_loss,train/policy_gradient_loss
-3787.889724,1,8640.0,31,8640,271,,,,,,,,,,,
-4189.1325355,2,8640.0,88,17280,195,0.007988514,-0.2836855351924896,-5.713169227882668,0.6314762830734253,0.2,10,0.07354166666666667,1.017671823501587,5e-05,0.1447006692564874,-0.008533201838878018
-5432.928201333333,3,8640.0,130,25920,198,0.0078073847,-0.29173052310943604,-5.780247805206864,0.8497404456138611,0.2,20,0.05269675925925926,1.034036636352539,5e-05,0.027062413339261654,-0.00565666070656368
-6144.73719825,4,8640.0,170,34560,202,0.0057489485,-0.29159870743751526,-5.838832492475157,0.8045113682746887,0.2,30,0.043541666666666666,1.0483416318893433,5e-05,0.015346581577668312,-0.0037412654130754095
-6598.978625999999,5,8640.0,222,43200,193,0.0057368674,-0.3233511745929718,-5.884370211495294,0.951572597026825,0.2,40,0.039976851851851854,1.0578948259353638,5e-05,0.006707040049562541,-0.004603307513796069
-6734.593576166666,6,8640.0,273,51840,189,0.005131335,-0.29241248965263367,-5.941564518257423,0.9609510898590088,0.2,50,0.030358796296296297,1.0780813694000244,5e-05,0.005404887815562284,-0.0037199525121185515
-6374.633980142857,7,8640.0,360,60480,167,0.007476311,-0.3286071717739105,-6.0048931994261565,0.9741787910461426,0.2,60,0.05769675925925926,1.0919221639633179,5e-05,0.007254018106118396,-0.006314119506385867
-6016.177796374999,8,8640.0,444,69120,155,0.006667157,-0.28556665778160095,-6.04637884316621,0.9903082251548767,0.2,70,0.062094907407407404,1.1017301082611084,5e-05,0.004265223724284658,-0.005673395029993521
-5705.167270888888,9,8640.0,529,77760,146,0.005376275,-0.3130905330181122,-6.075728028262103,0.9964866638183594,0.2,80,0.03546296296296296,1.1085681915283203,5e-05,0.004258036057559636,-0.005599177329352608
-5412.528353,10,8640.0,573,86400,150,0.0053825313,-0.29794442653656006,-6.111890683703952,0.9961522221565247,0.2,90,0.032060185185185185,1.1212791204452515,5e-05,0.003880537144658673,-0.0048729461026205505
-5145.54770190909,11,8640.0,617,95040,153,0.0061139152,-0.3251090347766876,-6.153248357066402,0.9972519874572754,0.2,100,0.050590277777777776,1.1324671506881714,5e-05,0.002982950304177831,-0.006683011575326047
-4921.732886416666,12,8640.0,660,103680,156,0.00615367,-0.33534979820251465,-6.185790261162652,0.9976993799209595,0.2,110,0.04597222222222222,1.139980673789978,5e-05,0.0025583403925756336,-0.006845955228846934
-4732.171672999999,13,8640.0,704,112320,159,0.0063810083,-0.330859899520874,-6.220572493871053,0.9974817633628845,0.2,120,0.05677083333333333,1.1524147987365723,5e-05,0.0025276110812814698,-0.005456198002556684
