rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,train/loss,train/explained_variance,train/value_loss,train/n_updates,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/std,train/clip_fraction,train/entropy_loss
-9294.273223,8640,7560.0,25,1,336,,,,,,,,,,,
-9077.294503500001,17280,7560.0,52,2,327,-0.017037715762853622,0.6553680896759033,0.13228794047333023,10,5e-05,0.2,-0.010836653555053527,0.008648703,1.0031386613845825,0.0687962962962963,-5.683168727733471
-8480.429875333333,25920,7560.0,79,3,324,-0.0056661758571863174,0.9448351860046387,0.009016025001010685,20,5e-05,0.2,-0.007067193413256771,0.0063951155,0.9997648000717163,0.047546296296296295,-5.681804592697708
-8711.76194275,34560,7560.0,106,4,323,0.0011763903312385082,0.9509713053703308,0.006637775085831958,30,5e-05,0.2,-0.01019021014062067,0.0073717847,0.9970035552978516,0.07325231481481481,-5.670183892426667
-8945.307879599999,43200,7560.0,134,5,322,-0.003980416338890791,0.9340389370918274,0.005029289242639034,40,5e-05,0.2,-0.00492692451717125,0.0066152834,0.9913935661315918,0.05040509259259259,-5.651862783432007
-8852.873981166666,51840,7560.0,161,6,320,-0.02773333340883255,0.9312362670898438,0.0057272375521629495,50,5e-05,0.2,-0.005297719293998348,0.0057827397,0.988368570804596,0.03636574074074074,-5.63474391301473
-8399.932581,60480,7560.0,190,7,317,-0.008104933425784111,0.9345324039459229,0.007079491553552173,60,5e-05,0.2,-0.00743287377766575,0.0065709148,0.9905083179473877,0.05351851851851852,-5.633936069629811
-8100.465898555554,69120,7560.0,217,8,317,-0.02507915534079075,0.9588313102722168,0.007858841228988712,70,5e-05,0.2,-0.008735884804692534,0.006752453,0.9877455234527588,0.059224537037037034,-5.63283450656467
-7793.676718899999,77760,7560.0,244,9,318,-0.02319858968257904,0.9734401702880859,0.00728108347169365,80,5e-05,0.2,-0.009771368530992832,0.0080913855,0.9872955679893494,0.06236111111111111,-5.627055077376189
-7497.023050818181,86400,7560.0,271,10,317,-0.0002078914549201727,0.9741092920303345,0.0056117118081871285,90,5e-05,0.2,-0.013972956931339231,0.010254431,0.982292652130127,0.12385416666666667,-5.613120054315638
-7347.861341749999,95040,7560.0,298,11,317,-0.00535589037463069,0.9827907085418701,0.004819797265809029,100,5e-05,0.2,-0.010835387484618911,0.009094459,0.9794066548347473,0.103125,-5.597525269896896
-7411.777875538461,103680,7560.0,325,12,318,0.001092798775061965,0.9418057203292847,0.007349998142518517,110,5e-05,0.2,-0.005796781375797259,0.005798125,0.9822461009025574,0.05376157407407407,-5.598687831384164
-7310.207910285714,112320,7560.0,352,13,318,-0.015878837555646896,0.9891006350517273,0.004133443403902843,120,5e-05,0.2,-0.010289180711153204,0.0073117125,0.9802926182746887,0.09002314814814814,-5.600479231940375
