time/total_timesteps,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/clip_range,train/approx_kl,train/loss,train/learning_rate,train/explained_variance,train/value_loss,train/n_updates,train/std,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss
457920,8640.0,33,1004,-2062.2403673269228,283,0.2,0.005490569,-0.37888824939727783,5e-05,0.9993600249290466,0.002142735836311692,510,1.6388359069824219,0.036516203703703703,-7.467294797190913,-0.005449693763663096
466560,8640.0,34,1033,-2056.2142327735846,284,0.2,0.0039480967,-0.35948875546455383,5e-05,0.9994017481803894,0.0018786701826051016,520,1.6433627605438232,0.021840277777777778,-7.4875342997798215,-0.004540615148014493
475200,8640.0,35,1063,-2050.446994888889,284,0.2,0.004343743,-0.38871410489082336,5e-05,0.9994328618049622,0.001925731621924098,530,1.6576567888259888,0.022754629629629628,-7.500745441295482,-0.005843804059377699
483840,8640.0,36,1091,-2044.1815205818182,284,0.2,0.004674636,-0.4012184739112854,5e-05,0.9993204474449158,0.0020388679465072022,540,1.6674423217773438,0.029328703703703704,-7.517248711762605,-0.004374390352620846
492480,8640.0,37,1121,-2037.5502916964285,285,0.2,0.004808426,-0.35589298605918884,5e-05,0.9993792176246643,0.001866643538189776,550,1.6848723888397217,0.027974537037037037,-7.540570499985306,-0.004714437861478439
501120,8640.0,38,1152,-2031.186767385965,284,0.2,0.0040686023,-0.3799755871295929,5e-05,0.9994471073150635,0.0017405304020374184,560,1.6963393688201904,0.02351851851851852,-7.564518442153931,-0.003968990574659849
509760,8640.0,39,1183,-2024.9143644655173,284,0.2,0.004834667,-0.3843170702457428,5e-05,0.9993372559547424,0.0018998862183394118,570,1.7154134511947632,0.028194444444444446,-7.5921476131015355,-0.004576366594475177
518400,8640.0,40,1212,-2019.273945762712,284,0.2,0.005280039,-0.38530516624450684,5e-05,0.9994739294052124,0.0016009187443112886,580,1.7296316623687744,0.030347222222222223,-7.620172164351852,-0.00451557993164493
527040,8640.0,41,1241,-2013.7733794666667,285,0.2,0.0059401724,-0.39839205145835876,5e-05,0.9995042681694031,0.0015789808229439788,590,1.7485268115997314,0.04287037037037037,-7.648572545934607,-0.005204531120619288
535680,8640.0,42,1270,-2007.9663142131146,285,0.2,0.0050267787,-0.39150330424308777,5e-05,0.9994799494743347,0.001491247931090011,600,1.7619054317474365,0.03509259259259259,-7.67292445006194,-0.005495406689501747
544320,8640.0,43,1298,-2002.6012627258065,286,0.2,0.0047420883,-0.3819979727268219,5e-05,0.9992688298225403,0.0021403935167041642,610,1.778341293334961,0.031747685185185184,-7.697184235961349,-0.004409769772276006
552960,8640.0,44,1327,-1997.5123347936506,286,0.2,0.0046901153,-0.42014503479003906,5e-05,0.9993453621864319,0.001756571494905209,620,1.7871673107147217,0.02638888888888889,-7.716122815520675,-0.005740231941971514
