time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/approx_kl,train/learning_rate,train/loss,train/explained_variance,train/clip_range,train/entropy_loss,train/value_loss,train/std,train/clip_fraction,train/n_updates,train/policy_gradient_loss
345,-24431.74683256,938,7560.0,2077803,75,0.00017314428,1e-05,0.004244236275553703,0.9793997406959534,0.2,-5.655363821983338,0.02222214239882305,0.9948527216911316,0.0,4790,-0.000707016578906372
345,-24248.13585902,951,7560.0,2082123,76,6.905104e-05,1e-05,0.00012808851897716522,0.9828751087188721,0.2,-5.655065381526947,0.013613020582124592,0.994849443435669,0.0,4800,-0.00027914682760359354
344,-24117.77021506,964,7560.0,2086443,77,8.405146e-05,1e-05,0.0018221086356788874,0.9716248512268066,0.2,-5.654909831285477,0.013987205026205629,0.9947323799133301,0.0,4810,-0.000335172598927036
345,-24117.77021506,975,7560.0,2090763,78,0.00016814077,1e-05,-0.0009745033457875252,0.9632605314254761,0.2,-5.6545648872852325,0.01068372042500414,0.9947206974029541,0.0,4820,-0.0006138382090097316
345,-23881.65584827,989,7560.0,2095083,79,0.00015701089,1e-05,9.719608351588249e-05,0.9914568662643433,0.2,-5.654638242721558,0.01366092674434185,0.9947630167007446,0.0,4830,-0.0009135733000604329
345,-23881.65584827,1000,7560.0,2099403,80,6.0315775e-05,1e-05,0.0024737087078392506,0.9757757782936096,0.2,-5.654853093624115,0.020571662485599516,0.9948326349258423,0.0,4840,-0.000453204387952999
345,-23652.092149660002,1013,7560.0,2103723,81,0.00014922183,1e-05,0.005887989420443773,0.9933147430419922,0.2,-5.6549702227115635,0.02401638627052307,0.9948057532310486,0.0,4850,-0.0006431617180939098
345,-23652.092149660002,1025,7560.0,2108043,82,0.00018418342,1e-05,0.033636294305324554,0.9919028878211975,0.2,-5.654923975467682,0.10316392779350281,0.9948276281356812,0.0,4860,-0.0010571294482432214
345,-23455.24052617,1038,7560.0,2112363,83,3.5944417e-05,1e-05,0.004909149371087551,0.9714220762252808,0.2,-5.654912388324737,0.018696344853378833,0.9947648644447327,0.0,4870,-0.00022621837650280697
345,-23276.378894519996,1051,7560.0,2116683,84,0.00011471815,1e-05,0.0006319130770862103,0.9874177575111389,0.2,-5.654831886291504,0.011730774445459247,0.9948198795318604,0.0,4880,-0.00039015187991358057
345,-23276.378894519996,1062,7560.0,2121003,85,0.00013123955,1e-05,-8.545629680156708e-05,0.945963978767395,0.2,-5.6548479974269865,0.0110118132957723,0.9947530627250671,0.0,4890,-0.00043389822235907484
345,-23111.451588779993,1075,7560.0,2125323,86,0.00024711096,1e-05,0.001607120968401432,0.9740054607391357,0.2,-5.654571485519409,0.014755614614114166,0.994704008102417,0.0,4900,-0.0006962655918357985
345,-23111.451588779993,1087,7560.0,2129643,87,0.00017815427,1e-05,0.0002252080012112856,0.9863259196281433,0.2,-5.6546970188617705,0.01002105250954628,0.9948372840881348,0.0,4910,-0.0006474635516458438
345,-22886.386289479997,1100,7560.0,2133963,88,0.00014445488,1e-05,0.006658192258328199,0.981039822101593,0.2,-5.655015397071838,0.025672377692535518,0.9948020577430725,0.0,4920,-0.0006670398092178065
345,-22886.386289479997,1111,7560.0,2138283,89,0.00015694657,1e-05,0.00042945146560668945,0.9880407452583313,0.2,-5.655202049016952,0.010434279579203575,0.9950007796287537,0.0,4930,-0.0007283548257494221
345,-22792.627995059996,1124,7560.0,2142603,90,0.00019323846,1e-05,0.0023513236083090305,0.9867253303527832,0.2,-5.656164264678955,0.018695912742987274,0.9952645897865295,0.0,4940,-0.0007594016441379691
345,-22758.967477889997,1137,7560.0,2146923,91,7.262147e-05,1e-05,0.0032475688494741917,0.9608896374702454,0.2,-5.656735622882843,0.019870426366105677,0.9952260255813599,0.0,4950,-0.00047249462212270996
345,-22758.967477889997,1148,7560.0,2151243,92,0.00013766586,1e-05,0.001142850611358881,0.9539676308631897,0.2,-5.656178611516952,0.016517784772440793,0.9949839115142822,0.0,4960,-0.0005643228472004657
345,-22752.27739829,1162,7560.0,2155563,93,0.00017483562,1e-05,0.0016851522959768772,0.9843541979789734,0.2,-5.655431926250458,0.012604971136897802,0.9949168562889099,0.0,4970,-0.0007171539683898775
