time/iterations,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/std,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/value_loss,train/clip_fraction,train/loss,train/approx_kl,train/learning_rate
11,-41569.458754416664,291,95040,7560.0,326,0.995801568031311,0.2,-5.65530385017395,-0.004691697180236655,0.9048359990119934,100,0.0038598445974531827,0.03366898148148148,-0.0014655864797532558,0.0049010017,5e-05
12,-41039.518093461535,292,103680,7560.0,354,0.9928880929946899,0.2,-5.652099988372238,-0.0080861927750003,0.9652774930000305,110,0.0026805687995834484,0.05704861111111111,-0.0030792842153459787,0.0068348777,5e-05
13,-41288.577280000005,293,112320,7560.0,382,0.9923468828201294,0.2,-5.645991214116415,-0.006473036343921666,0.9465757608413696,120,0.0017609409561070303,0.05476851851851852,-0.015606517903506756,0.006194492,5e-05
14,-40948.37445818749,294,120960,7560.0,411,0.993179440498352,0.2,-5.645877878401015,-0.006441166019757037,0.929577648639679,130,0.002266630761333983,0.04957175925925926,-0.0061928811483085155,0.0067050853,5e-05
15,-40672.570218352936,295,129600,7560.0,438,0.9917159676551819,0.2,-5.644683563091137,-0.006459021065556617,0.9752918481826782,140,0.0019509126210404146,0.04111111111111111,-0.006361020728945732,0.006011163,5e-05
16,-39373.45052588888,296,138240,7560.0,466,0.9875156283378601,0.2,-5.633382578249331,-0.005789831551136794,0.9622116088867188,150,0.002119101211687343,0.03570601851851852,-0.01800132542848587,0.005472451,5e-05
17,-38784.89516636841,297,146880,7560.0,493,0.9891127347946167,0.2,-5.628561526051274,-0.009299934944827799,0.9930520057678223,160,0.002611243674419475,0.07269675925925925,-0.001715857069939375,0.0077882344,5e-05
18,-37778.57850429999,298,155520,7560.0,521,0.986084520816803,0.2,-5.624919077202126,-0.006435851339526751,0.9851769208908081,170,0.0027847583645402834,0.05123842592592592,-0.007689671125262976,0.0058735916,5e-05
19,-37459.968955761906,298,164160,7560.0,549,0.9882845282554626,0.2,-5.62430173308761,-0.005862834239723506,0.9913322329521179,180,0.0016909941830198039,0.04125,0.001896752743050456,0.005257023,5e-05
20,-36676.769195681816,299,172800,7560.0,576,0.9848434925079346,0.2,-5.6199509945622195,-0.0077111065330811674,0.9854204654693604,190,0.0024110573414644156,0.056875,0.017633911222219467,0.0059398985,5e-05
21,-34983.577716374995,299,181440,7560.0,606,0.9831662774085999,0.2,-5.610193678184792,-0.006238106465725987,0.9943782091140747,200,0.0012804242456331849,0.05,0.015834683552384377,0.0064719757,5e-05
