time/total_timesteps,time/time_elapsed,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/value_loss,train/std,train/clip_fraction,train/approx_kl,train/entropy_loss
129600,536,15,241,7560.0,-19534.817858764705,-0.32351091504096985,0.9929046034812927,0.2,-0.003658252034543289,5e-05,140,0.002846006426218621,1.2867861986160278,0.025671296296296296,0.005194875,-6.643406257982607
138240,569,16,242,7560.0,-19387.47400172222,-0.32924917340278625,0.9952571988105774,0.2,-0.0030294845508480515,5e-05,150,0.001822645461652428,1.305343508720398,0.021354166666666667,0.00422216,-6.713166485185976
146880,603,17,243,7560.0,-18704.762847421054,-0.3560705780982971,0.996626079082489,0.2,-0.003612603349438696,5e-05,160,0.0015098860394856374,1.3274765014648438,0.028530092592592593,0.0049161674,-6.776659483733001
155520,636,18,244,7560.0,-18252.31421,-0.33812907338142395,0.9972670674324036,0.2,-0.007125370663211302,5e-05,170,0.0006260969160077232,1.3431155681610107,0.07380787037037037,0.0074059777,-6.8350376863832825
164160,673,19,243,7560.0,-17675.62579747619,-0.33416610956192017,0.9969223737716675,0.2,-0.0022197975634804202,5e-05,180,0.0009878425278239539,1.3684881925582886,0.014340277777777778,0.003718702,-6.894173734452989
172800,712,20,242,7560.0,-17793.89851190909,-0.33966487646102905,0.9970589876174927,0.2,-0.004499745555566969,5e-05,190,0.0007583461232328167,1.3939927816390991,0.026747685185185187,0.004855006,-6.969047773855704
181440,754,21,240,7560.0,-17442.005380041664,-0.37389734387397766,0.9962486624717712,0.2,-0.005097678316136201,5e-05,200,0.0017713194546565688,1.4207983016967773,0.02824074074074074,0.004296032,-7.043146041587547
190080,793,22,239,7560.0,-17116.502210079998,-0.35711848735809326,0.9954979419708252,0.2,-0.004288271402043325,5e-05,210,0.002085710585427781,1.4444396495819092,0.030300925925925926,0.004899297,-7.1149030879691795
198720,830,23,239,7560.0,-16891.17265661538,-0.37720829248428345,0.99400395154953,0.2,-0.0049933053941155475,5e-05,220,0.001473022804474803,1.466132402420044,0.05165509259259259,0.006913474,-7.177425816853841
207360,863,24,240,7560.0,-16712.223976592588,-0.38430917263031006,0.9971064329147339,0.2,-0.004836478031033443,5e-05,230,0.0015399901081669938,1.4939442873001099,0.029386574074074075,0.0053557334,-7.24538123484011
216000,898,25,240,7560.0,-16539.24402078571,-0.41586601734161377,0.9977455735206604,0.2,-0.005444425826167895,5e-05,240,0.0015297294853694945,1.525485873222351,0.03340277777777778,0.0057395254,-7.324691797185827
224640,934,26,240,7560.0,-16208.893473827584,-0.40974318981170654,0.9985799789428711,0.2,-0.006469865067068625,5e-05,250,0.0009575404604267398,1.5503253936767578,0.041944444444444444,0.0060338145,-7.399354115238896
233280,967,27,241,7560.0,-16065.16107563333,-0.38456952571868896,0.9980854988098145,0.2,-0.003285663221721296,5e-05,260,0.0011391729206769487,1.5795199871063232,0.02375,0.004972372,-7.468146140133893
241920,1003,28,241,7560.0,-15837.422354125,-0.3871038556098938,0.996507465839386,0.2,-0.0036840174886984406,5e-05,270,0.0009847947333171895,1.6097882986068726,0.025972222222222223,0.0051275226,-7.543989962471856
250560,1036,29,241,7560.0,-15721.214736787877,-0.3728220760822296,0.9969218373298645,0.2,-0.004019457676827356,5e-05,280,0.0010867825352707532,1.6354081630706787,0.031516203703703706,0.0049775504,-7.6115989946436
259200,1069,30,242,7560.0,-15863.764703911764,-0.3907849192619324,0.9965852499008179,0.2,-0.0032779245578718405,5e-05,290,0.001804652888957342,1.6693642139434814,0.018645833333333334,0.003851706,-7.6847266504499645
267840,1104,31,242,7560.0,-15646.722345371429,-0.4033545255661011,0.99625563621521,0.2,-0.003395256415112979,5e-05,300,0.0016540813452081272,1.7059193849563599,0.0225,0.0045530503,-7.770574919382731
276480,1139,32,242,7560.0,-15777.343937527776,-0.40720534324645996,0.9974365234375,0.2,-0.003590875151912095,5e-05,310,0.002109072894608188,1.7401055097579956,0.019780092592592592,0.004112235,-7.852788179892081
285120,1174,33,242,7560.0,-15632.203391324323,-0.3893454968929291,0.9979757070541382,0.2,-0.0033628796636023454,5e-05,320,0.0013649632973182532,1.769033670425415,0.023773148148148147,0.004518231,-7.925815886391534
293760,1207,34,243,7560.0,-15434.798609157893,-0.40702560544013977,0.9993988871574402,0.2,-0.00350576578501474,5e-05,330,0.00046811566694587885,1.78997004032135,0.027546296296296298,0.0049308008,-7.983652193281386
302400,1245,35,242,7560.0,-15073.2021948,-0.41692841053009033,0.9988154172897339,0.2,-0.002435728430368558,5e-05,340,0.0005888737056132717,1.8221490383148193,0.015821759259259258,0.0036329383,-8.043737510398582
311040,1280,36,242,7560.0,-15075.13519392683,-0.41656234860420227,0.9990924000740051,0.2,-0.002599822450429201,5e-05,350,0.00043921690737112873,1.8541299104690552,0.019178240740740742,0.00392695,-8.112372330559625
319680,1315,37,242,7560.0,-14909.841093928573,-0.3724234402179718,0.997321367263794,0.2,-0.0037315211396802355,5e-05,360,0.0012831943218717006,1.8882557153701782,0.024340277777777777,0.005047123,-8.182533524831136
328320,1349,38,243,7560.0,-14735.249534325581,-0.4155117869377136,0.999118983745575,0.2,-0.0028388953239967428,5e-05,370,0.0003493027961101486,1.9212088584899902,0.023738425925925927,0.0045620007,-8.255557147132025
336960,1383,39,243,7560.0,-14795.916765727272,-0.41527944803237915,0.9978657364845276,0.2,-0.0032498448664598444,5e-05,380,0.0015579418156347754,1.9609346389770508,0.014710648148148148,0.0038312743,-8.329089180981672
345600,1417,40,243,7560.0,-14634.432288844444,-0.4400964677333832,0.9992857575416565,0.2,-0.002962755729375338,5e-05,390,0.000553127093223372,1.9929649829864502,0.01965277777777778,0.0039843363,-8.40236544503106
354240,1452,41,243,7560.0,-14644.882007652172,-0.4388011395931244,0.9985063672065735,0.2,-0.0037823871193729615,5e-05,400,0.001497675182979071,2.0232925415039062,0.02851851851851852,0.0050695417,-8.46459203225595
362880,1489,42,243,7560.0,-14596.060545437498,-0.43064266443252563,0.9990692734718323,0.2,-0.0037511648242879243,5e-05,410,0.0003542291662220291,2.0554943084716797,0.02605324074074074,0.0050986935,-8.528170125042951
371520,1523,43,243,7560.0,-14844.758448163264,-0.43508395552635193,0.9969974756240845,0.2,-0.004977531516752033,5e-05,420,0.0027627660915755703,2.0947558879852295,0.03190972222222222,0.0056379642,-8.596117283150003
380160,1556,44,244,7560.0,-14830.940488059998,-0.4606919586658478,0.996601402759552,0.2,-0.005889541811689183,5e-05,430,0.0025944390776998327,2.1362180709838867,0.03539351851851852,0.004657287,-8.67419112805967
388800,1591,45,244,7560.0,-14823.37639660784,-0.44030195474624634,0.9985467791557312,0.2,-0.004404105663782468,5e-05,440,0.0018180809402622766,2.172009229660034,0.027743055555555556,0.005308744,-8.745796802662037
397440,1624,46,244,7560.0,-14810.31414155769,-0.4772159457206726,0.998505175113678,0.2,-0.00418811594636214,5e-05,450,0.0017446393601130694,2.222201347351074,0.03217592592592593,0.005699104,-8.825165729522706
406080,1659,47,244,7560.0,-14815.265840849055,-0.44431158900260925,0.9989510178565979,0.2,-0.003953037313185632,5e-05,460,0.002279482126123858,2.2652504444122314,0.03607638888888889,0.0055279606,-8.908175635161223
414720,1694,48,244,7560.0,-14858.802214759258,-0.4569947123527527,0.9975321292877197,0.2,-0.003950522903663416,5e-05,470,0.0030419148189119167,2.306387424468994,0.023506944444444445,0.0047602635,-8.982169839364511
423360,1732,49,244,7560.0,-14799.087358660714,-0.45024627447128296,0.9973511099815369,0.2,-0.0036077382798410124,5e-05,480,0.003480293983248649,2.3422954082489014,0.022824074074074073,0.004398741,-9.049044823823152
432000,1766,50,244,7560.0,-14718.60837542105,-0.4579217731952667,0.9989216923713684,0.2,-0.005115810680134153,5e-05,490,0.0016999288826439255,2.379843235015869,0.038703703703703705,0.006307126,-9.112602513631185
440640,1800,51,244,7560.0,-14617.08048377586,-0.45998212695121765,0.9945101737976074,0.2,-0.005435571101735587,5e-05,500,0.004404876682286461,2.4149465560913086,0.04078703703703704,0.0063986117,-9.174237529613354
449280,1835,52,244,7560.0,-14500.773591237286,-0.4808289706707001,0.9971281290054321,0.2,-0.006247301262768882,5e-05,510,0.0034446281147258425,2.4546217918395996,0.04357638888888889,0.0062825144,-9.23704900317722
457920,1870,53,244,7560.0,-14392.329433883333,-0.4717111587524414,0.9965983629226685,0.2,-0.0065758570619962285,5e-05,520,0.00305905017704289,2.496530055999756,0.06150462962962963,0.0066477624,-9.303529702645761
466560,1904,54,244,7560.0,-14289.424824229509,-0.4671698212623596,0.9986377954483032,0.2,-0.007367504919982619,5e-05,530,0.0014376801779683404,2.5288774967193604,0.06487268518518519,0.0074588316,-9.362388742941397
