rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/loss,train/entropy_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/clip_range,train/std,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/approx_kl
-6444.078516040001,7560.0,331,1391040,1,26,,,,,,,,,,,
-6432.811902490001,7560.0,314,1399680,2,54,-0.003094570944085717,-4.331849324261701,0.9994670748710632,0.0010061955122014129,0.05502314814814815,0.2,0.7269392013549805,5e-05,1604,-0.005259348941208036,0.0063319993
-6438.1097257500005,7560.0,309,1408320,3,83,0.0196728203445673,-4.328739891758672,0.9996637105941772,0.0008510072168105075,0.03365740740740741,0.2,0.725725531578064,5e-05,1614,-0.002727061531471985,0.004588642
-6430.3430114799985,7560.0,306,1416960,4,112,0.006630761548876762,-4.320089870382239,0.9995211958885193,0.0008523377321479429,0.05542824074074074,0.2,0.7231283187866211,5e-05,1624,-0.005260159028952735,0.0062035695
-6431.321581339998,7560.0,306,1425600,5,140,-0.009971125051379204,-4.312966844770643,0.9996030330657959,0.0010482994435329197,0.06018518518518518,0.2,0.7230384945869446,5e-05,1634,-0.004143242876528314,0.006781703
-6425.401363779999,7560.0,303,1434240,6,170,-0.008278804831206799,-4.3101146097536445,0.9991182088851929,0.0010842171023358349,0.05884259259259259,0.2,0.7223753929138184,5e-05,1644,-0.00488564175726087,0.006685972
-6418.432034489999,7560.0,301,1442880,7,200,-0.015501192770898342,-4.313894988872387,0.999381422996521,0.0008302885522048369,0.07241898148148149,0.2,0.7250823974609375,5e-05,1654,-0.007063692521510853,0.0076574255
-6407.20496432,7560.0,301,1451520,8,229,-0.016527676954865456,-4.31139605804726,0.9991724491119385,0.0007186684945675855,0.04185185185185185,0.2,0.7225574254989624,5e-05,1664,-0.002988351135066262,0.005498763
-6398.22523967,7560.0,302,1460160,9,257,0.006045915186405182,-4.301340892226608,0.9996033310890198,0.0007615678772196622,0.058784722222222224,0.2,0.7214938998222351,5e-05,1674,-0.00510083410906157,0.0067369207
-6395.59857813,7560.0,302,1468800,10,286,-0.004435464274138212,-4.293277348412408,0.999729335308075,0.0004804128435379998,0.04179398148148148,0.2,0.7192400097846985,5e-05,1684,-0.0025833469767261434,0.004174524
-6396.58409259,7560.0,302,1477440,11,314,-0.003951795399188995,-4.291564842153479,0.9995176792144775,0.0008188533817452413,0.05241898148148148,0.2,0.7210394740104675,5e-05,1694,-0.005216931324728109,0.006361935
-6397.61856105,7560.0,301,1486080,12,344,-0.011063430458307266,-4.286438291337755,0.9993466138839722,0.000655806030866828,0.059444444444444446,0.2,0.7180502414703369,5e-05,1704,-0.005817448190689363,0.007019449
-6387.600098120001,7560.0,301,1494720,13,372,-0.02795572206377983,-4.277974016754715,0.9992290735244751,0.0008110325056865501,0.059236111111111114,0.2,0.7180132865905762,5e-05,1714,-0.005494326182503115,0.0060249236
-6380.748773459999,7560.0,300,1503360,14,402,-0.010115547105669975,-4.2753801614266855,0.9998177886009216,0.0006841868326753481,0.04541666666666667,0.2,0.7176243662834167,5e-05,1724,-0.004853713323224198,0.0058366824
