time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/clip_range,train/explained_variance,train/value_loss,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss,train/loss,train/std
20,172800,-23947.1138359,316,8640.0,545,5e-05,0.2,0.9985500574111938,0.009384083537453855,190,0.005613433,-0.005825073006390421,0.05260416666666667,-6.510076019852249,-0.32431524991989136,1.242514729499817
21,181440,-23751.90465404762,316,8640.0,572,5e-05,0.2,0.9988484978675842,0.007902195260308132,200,0.005231645,-0.00510033617934419,0.03954861111111111,-6.545487745779532,-0.34177330136299133,1.2562260627746582
22,190080,-23552.367810954544,316,8640.0,600,5e-05,0.2,0.9985591173171997,0.00844432582837288,210,0.0056416574,-0.006934248693114905,0.047453703703703706,-6.586352393185651,-0.34001535177230835,1.2689177989959717
23,198720,-23388.40630821739,316,8640.0,627,5e-05,0.2,0.9986104965209961,0.007135692914189012,220,0.004942516,-0.005423720086648784,0.031122685185185184,-6.626870146504155,-0.33111098408699036,1.2821831703186035
24,207360,-23215.75834525,316,8640.0,655,5e-05,0.2,0.9980396628379822,0.0082075564906484,230,0.0059895064,-0.005584654202339826,0.04010416666666667,-6.660725919935438,-0.3186778426170349,1.2915334701538086
25,216000,-23027.831808680003,315,8640.0,683,5e-05,0.2,0.998982310295105,0.005715348768237702,240,0.0052695936,-0.00540691369627085,0.0346875,-6.686006408267551,-0.33872371912002563,1.3001660108566284
26,224640,-22876.569362192313,315,8640.0,711,5e-05,0.2,0.9987385869026184,0.005866389444477304,250,0.004243018,-0.004898653049366894,0.029814814814814815,-6.7121271804527,-0.32318300008773804,1.3088278770446777
27,233280,-22714.214946111115,315,8640.0,739,5e-05,0.2,0.9990857839584351,0.005278696801720394,260,0.0051540914,-0.004880851016517866,0.029976851851851852,-6.7389222734945795,-0.33495208621025085,1.3191035985946655
28,241920,-22559.893976428575,315,8640.0,766,5e-05,0.2,0.9989875555038452,0.005012206807387648,270,0.005477476,-0.0056478866953747695,0.0375,-6.7720159484722,-0.3715747594833374,1.331470251083374
29,250560,-22422.915851793106,315,8640.0,794,5e-05,0.2,0.9990671873092651,0.0036561924727909543,280,0.004587874,-0.004736266356582443,0.02917824074074074,-6.803412829858285,-0.34985142946243286,1.3434100151062012
