time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/clip_range,train/loss,train/clip_fraction,train/std,train/entropy_loss,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/explained_variance,train/approx_kl,train/learning_rate,train/value_loss
13,315,1,4320,,,,,,,,,,,,,
30,287,2,8640,-0.006212339715977364,0.2,-0.03233909606933594,0.004457720588235294,1.0008964538574219,-5.677645905578838,7560.0,10,-18092.082636,0.561957597732544,0.0031507087,1e-05,0.4728697033489452
44,289,3,12960,-0.005860239327611292,0.2,-0.05761655420064926,0.010799632352941176,1.0016416311264038,-5.680770163676318,7560.0,20,-18092.082636,0.8527693748474121,0.004590078,1e-05,0.12150724151390879
60,287,4,17280,-0.005104570505414706,0.2,-0.05370946228504181,0.011328125,1.0018372535705566,-5.682891229320975,7560.0,30,-16490.940285,0.9343747496604919,0.0047571994,1e-05,0.030832878874121783
73,293,5,21600,-0.006148063015151659,0.2,-0.08388321846723557,0.0027113970588235293,1.0021674633026123,-5.683747347663431,7560.0,40,-16490.940285,0.9343145489692688,0.0027919374,1e-05,0.026512139578185538
88,293,6,25920,-0.011310916435425443,0.2,-0.047498419880867004,0.03474264705882353,1.0018736124038696,-5.68415871998843,7560.0,50,-14674.227456,0.9370530843734741,0.008028439,1e-05,0.00923613157869755
103,292,7,30240,-0.011941930862239507,0.2,-0.10391456633806229,0.047104779411764705,1.0013246536254883,-5.682135262910058,7560.0,60,-13816.771839,0.9539422988891602,0.008415103,1e-05,0.009377419199068647
117,295,8,34560,-0.011607198884560015,0.2,-0.06331633031368256,0.04016544117647059,1.0011560916900635,-5.68076225939919,7560.0,70,-13816.771839,0.9757042527198792,0.007655681,1e-05,0.010034387482001502
132,293,9,38880,-0.0032495251634185587,0.2,-0.05005565658211708,0.003561580882352941,1.001765489578247,-5.681414450617398,7560.0,80,-20766.9149618,0.7933498024940491,0.0034404697,1e-05,0.05329165767042843
145,296,10,43200,-0.002392210181364242,0.2,-0.04412282630801201,0.0014935661764705881,1.001807689666748,-5.682876278372372,7560.0,90,-20766.9149618,0.9621037840843201,0.0022785584,1e-05,0.04505180913804318
161,294,11,47520,-0.007164321946979993,0.2,-0.05128483846783638,0.028308823529411765,1.001439094543457,-5.682318836099961,7560.0,100,-19169.481881833333,0.9869256615638733,0.006669264,1e-05,0.0014409906437161707
174,296,12,51840,-0.006204386848120896,0.2,-0.0655049979686737,0.01826746323529412,1.0013986825942993,-5.681492661027347,7560.0,110,-19169.481881833333,0.9911438226699829,0.006091415,1e-05,0.0026178636023199515
189,295,13,56160,-0.001413003686534734,0.2,-0.06458213180303574,9.191176470588235e-05,1.0010868310928345,-5.680648575109594,7560.0,120,-18019.553986285715,0.9853320121765137,0.001338095,1e-05,0.0016818855546315557
205,294,14,60480,-0.0038389113943969066,0.2,-0.059359196573495865,0.004618566176470588,1.0008513927459717,-5.679612675835105,7560.0,130,-17206.169091625,0.9925839304924011,0.0040942975,1e-05,0.0021355593135333893
