time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/explained_variance,train/std,rollout/ep_rew_mean,train/approx_kl,train/loss,train/clip_fraction,train/clip_range,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,rollout/ep_len_mean
181440,660,274,42,0.997995138168335,0.9566721320152283,-8417.793614,0.012551323,-0.005572760012000799,0.08312499991152436,0.2,0.0005,0.030487728398293258,410,-5.496849632263183,-0.006511006836592869,7560.0
185760,671,276,43,0.9976868629455566,0.9584395885467529,-8417.793614,0.01354745,-0.008469242602586746,0.10879629566916264,0.2,0.0005,0.031764465989544986,420,-5.496004581451416,-0.008515996281424165,7560.0
190080,684,277,44,0.9967076182365417,0.9599502086639404,-8312.57753356,0.011661512,-0.006329941563308239,0.09467592586879618,0.2,0.0005,0.032447900716215373,430,-5.507333970069885,-0.006545623045962401,7560.0
194400,696,279,45,0.9958245158195496,0.9596216082572937,-8312.57753356,0.009578209,-0.003719879314303398,0.08155092747183516,0.2,0.0005,0.03677342068403959,440,-5.509687733650208,-0.00691368224328337,7560.0
198720,709,280,46,0.9961958527565002,0.9606451988220215,-8200.780788961538,0.009749223,-0.004667436238378286,0.05013888957328163,0.2,0.0005,0.024723531678318977,450,-5.508961868286133,-0.0041305519865488804,7560.0
203040,720,281,47,0.998478353023529,0.9597637057304382,-8200.780788961538,0.010515794,-0.007194710895419121,0.08814814774086699,0.2,0.0005,0.029690258065238596,460,-5.512597227096558,-0.006835936286219635,7560.0
207360,733,282,48,0.9982388615608215,0.9576625823974609,-8075.074446074074,0.009513988,-0.011422348208725452,0.14138888893648982,0.2,0.0005,0.023912095930427313,470,-5.504176044464112,-0.010057904345104163,7560.0
211680,746,283,49,0.9991052150726318,0.9543198347091675,-7955.55054075,0.00813305,-0.008439182303845882,0.0728935185674345,0.2,0.0005,0.021775249484926464,480,-5.493414378166198,-0.006274653636296534,7560.0
216000,757,285,50,0.993562638759613,0.9531407356262207,-7955.55054075,0.009823581,-0.007025762461125851,0.11444444415974431,0.2,0.0005,0.027727794367820024,490,-5.481002449989319,-0.00738137892833306,7560.0
220320,770,285,51,0.9974256157875061,0.9546220302581787,-7848.731451137931,0.009668156,-0.005322001874446869,0.07567129672970623,0.2,0.0005,0.02669688006862998,500,-5.481729650497437,-0.00594530853579478,7560.0
224640,782,287,52,0.9974704384803772,0.954228401184082,-7848.731451137931,0.0074025374,-0.01278380025178194,0.06958333369111643,0.2,0.0005,0.021201904257759453,510,-5.48477075099945,-0.006449118617914529,7560.0
228960,795,287,53,0.9980449080467224,0.9520481824874878,-7728.4559785,0.00964063,-0.008731557056307793,0.10969907407124993,0.2,0.0005,0.021268652519211173,520,-5.478876113891602,-0.00856668294334142,7560.0
233280,806,289,54,0.9979293346405029,0.9506607055664062,-7728.4559785,0.0058762236,-0.005471306852996349,0.051250000306754376,0.2,0.0005,0.02029070518910885,530,-5.472268342971802,-0.004650960960371364,7560.0
237600,819,289,55,0.9982717037200928,0.9495054483413696,-7602.158274903226,0.01188067,-0.013328539207577705,0.10604166625998915,0.2,0.0005,0.017071738932281734,540,-5.465197563171387,-0.009970808299999412,7560.0
241920,832,290,56,0.9881934523582458,0.9485345482826233,-7515.46317890625,0.0062380903,-0.012426589615643024,0.09416666599572636,0.2,0.0005,0.016289067361503838,550,-5.462429356575012,-0.00797972512059566,7560.0
246240,843,291,57,0.9958512187004089,0.9457685947418213,-7515.46317890625,0.004671761,-0.005258715711534023,0.02414351842016913,0.2,0.0005,0.025258895684964956,560,-5.455709719657898,-0.0034811255579201726,7560.0
250560,856,292,58,0.9889888763427734,0.9432340264320374,-7445.823680333333,0.007819716,-0.006693903356790543,0.05233796283137053,0.2,0.0005,0.02086055758409202,570,-5.4428911209106445,-0.0038139966244946422,7560.0
254880,867,293,59,0.9851136803627014,0.9414706230163574,-7445.823680333333,0.005847892,-0.008462918922305107,0.04384259284706786,0.2,0.0005,0.027020239247940482,580,-5.433562994003296,-0.0038265983930585888,7560.0
259200,880,294,60,0.9976400136947632,0.9412620067596436,-7373.8272132941165,0.006805717,-0.005495765246450901,0.028796296479413286,0.2,0.0005,0.019396869174670428,590,-5.4286208152771,-0.0033931619329877092,7560.0
263520,891,295,61,0.9793424606323242,0.9425143003463745,-7373.8272132941165,0.0049506724,-0.004718960728496313,0.0685648149694316,0.2,0.0005,0.01859644481446594,600,-5.430759048461914,-0.0040968530394646764,7560.0
267840,904,296,62,0.9975122809410095,0.9449009895324707,-7307.700958257142,0.0045254445,-0.0036062151193618774,0.057337963342433795,0.2,0.0005,0.020928089553490282,610,-5.4382446765899655,-0.003639649897819197,7560.0
272160,917,296,63,0.9868252277374268,0.9440711140632629,-7240.178910805555,0.0055135824,-0.007240981794893742,0.04067129648756236,0.2,0.0005,0.014425663277506828,620,-5.445328855514527,-0.004020403425653285,7560.0
276480,928,297,64,0.9967716336250305,0.941421627998352,-7240.178910805555,0.0065331087,-0.014164618216454983,0.04888888846617192,0.2,0.0005,0.023461603058967738,630,-5.435664987564087,-0.006873230350277026,7560.0
280800,941,298,65,0.9914653897285461,0.936709463596344,-7169.011291324323,0.0074660154,-0.009689603000879288,0.07604166723322123,0.2,0.0005,0.015018260083161294,640,-5.421936082839966,-0.004927919655197499,7560.0
285120,953,299,66,0.9804708361625671,0.9340991973876953,-7169.011291324323,0.007205436,-0.008278796449303627,0.06629629581002519,0.2,0.0005,0.02073927051387727,650,-5.403262734413147,-0.005752541012339796,7560.0
289440,966,299,67,0.9961209297180176,0.9348598718643188,-7099.906913947368,0.005956759,-0.007043565157800913,0.03976851839979645,0.2,0.0005,0.016590215638279913,660,-5.399814319610596,-0.003937550582149551,7560.0
293760,977,300,68,0.9788700938224792,0.931183934211731,-7099.906913947368,0.0057361266,-0.005471410695463419,0.06928240683337208,0.2,0.0005,0.019106987095437945,670,-5.397291159629821,-0.005414116478813824,7560.0
298080,990,301,69,0.9932184219360352,0.9280803203582764,-7015.522405384614,0.0069318954,-0.011889420449733734,0.09324074136675335,0.2,0.0005,0.017160805803723634,680,-5.377057337760926,-0.007689522828236229,7560.0
302400,1003,301,70,0.9837184548377991,0.9255936741828918,-6954.558336650001,0.00636117,-0.006494605448096991,0.06287037120782771,0.2,0.0005,0.0165005202870816,690,-5.367166376113891,-0.005319527707976723,7560.0
306720,1014,302,71,0.9926716089248657,0.9232699871063232,-6954.558336650001,0.0131265605,-0.01567474752664566,0.12097222181037068,0.2,0.0005,0.0182489822153002,700,-5.355866384506226,-0.01041806715096456,7560.0
311040,1027,302,72,0.9932156801223755,0.9210560321807861,-6887.231147707318,0.008153332,-0.008557886816561222,0.05615740700159222,0.2,0.0005,0.014751650136895477,710,-5.344883012771606,-0.004340523646840388,7560.0
315360,1038,303,73,0.9728908538818359,0.9212121963500977,-6887.231147707318,0.006263936,-0.007475839927792549,0.07210648067411966,0.2,0.0005,0.01981840280350298,720,-5.339992928504944,-0.005246464386797811,7560.0
319680,1051,304,74,0.994597315788269,0.9200252294540405,-6827.611788238097,0.006929645,-0.011606002226471901,0.060856482514645906,0.2,0.0005,0.01603533506859094,730,-5.33884482383728,-0.005465283461461468,7560.0
324000,1062,304,75,0.9848718047142029,0.9180919528007507,-6827.611788238097,0.005195342,-0.006829878780990839,0.06831018502125516,0.2,0.0005,0.018575888616032897,740,-5.331948900222779,-0.005104659224000186,7560.0
328320,1075,305,76,0.994104266166687,0.9162229299545288,-6762.365040279071,0.010092227,-0.009322514757514,0.0883101849583909,0.2,0.0005,0.013862349069677293,750,-5.323085641860962,-0.0052631180143389855,7560.0
332640,1088,305,77,0.991700291633606,0.9164224863052368,-6707.077632636365,0.0072822836,-0.009511122480034828,0.06370370385702699,0.2,0.0005,0.012512826803140342,760,-5.317974495887756,-0.005009576958170015,7560.0
336960,1099,306,78,0.9977388381958008,0.9134447574615479,-6707.077632636365,0.010281949,-0.013558967970311642,0.09907407335704192,0.2,0.0005,0.01758772279135883,770,-5.316300368309021,-0.00869288820812173,7560.0
341280,1112,306,79,0.9942166805267334,0.9111835956573486,-6646.295775222224,0.004912213,-0.007149424869567156,0.04543981513415929,0.2,0.0005,0.012525325058959424,780,-5.299668478965759,-0.003732379442114109,7560.0
345600,1123,307,80,0.9874556660652161,0.909168004989624,-6646.295775222224,0.0054368638,-0.010167707689106464,0.07773148227133789,0.2,0.0005,0.015333710820414126,790,-5.292132067680359,-0.006274948965798899,7560.0
349920,1136,307,81,0.9976003766059875,0.9064797759056091,-6591.757900913045,0.006923264,-0.010492255911231041,0.06675925980089233,0.2,0.0005,0.01340010279091075,800,-5.280702018737793,-0.0049515188593391105,7560.0
354240,1148,308,82,0.99102783203125,0.9044758677482605,-6591.757900913045,0.006052456,-0.003977060783654451,0.06479166628560051,0.2,0.0005,0.016453432152047753,810,-5.270113444328308,-0.005463132880125699,7560.0
358560,1161,308,83,0.995755136013031,0.9012283682823181,-6541.804384468086,0.0049481415,-0.007466807495802641,0.06664351851213723,0.2,0.0005,0.013881134055554866,820,-5.25895733833313,-0.006509259267218681,7560.0
