time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,train/entropy_loss,train/loss,train/learning_rate,train/approx_kl,train/explained_variance,train/clip_fraction,train/n_updates,train/clip_range,train/policy_gradient_loss,train/value_loss,train/std
550,18,-24393.01044988889,8640.0,282,155520,-6.420659562216865,-0.3059372901916504,5e-05,0.0073270206,0.997898280620575,0.05761574074074074,170,0.2,-0.00612120280628679,0.01334055063487203,1.2137095928192139
578,19,-24144.072479052633,8640.0,283,164160,-6.465719679373282,-0.3500378429889679,5e-05,0.0053959377,0.9983349442481995,0.04386574074074074,180,0.2,-0.006573270610706122,0.010628243434863786,1.2320680618286133
606,20,-23947.1138359,8640.0,284,172800,-6.510076019852249,-0.32431524991989136,5e-05,0.005613433,0.9985500574111938,0.05260416666666667,190,0.2,-0.005825073006390421,0.009384083537453855,1.242514729499817
634,21,-23751.90465404762,8640.0,285,181440,-6.545487745779532,-0.34177330136299133,5e-05,0.005231645,0.9988484978675842,0.03954861111111111,200,0.2,-0.00510033617934419,0.007902195260308132,1.2562260627746582
662,22,-23552.367810954544,8640.0,287,190080,-6.586352393185651,-0.34001535177230835,5e-05,0.0056416574,0.9985591173171997,0.047453703703703706,210,0.2,-0.006934248693114905,0.00844432582837288,1.2689177989959717
689,23,-23388.40630821739,8640.0,288,198720,-6.626870146504155,-0.33111098408699036,5e-05,0.004942516,0.9986104965209961,0.031122685185185184,220,0.2,-0.005423720086648784,0.007135692914189012,1.2821831703186035
717,24,-23215.75834525,8640.0,289,207360,-6.660725919935438,-0.3186778426170349,5e-05,0.0059895064,0.9980396628379822,0.04010416666666667,230,0.2,-0.005584654202339826,0.0082075564906484,1.2915334701538086
745,25,-23027.831808680003,8640.0,289,216000,-6.686006408267551,-0.33872371912002563,5e-05,0.0052695936,0.998982310295105,0.0346875,240,0.2,-0.00540691369627085,0.005715348768237702,1.3001660108566284
773,26,-22876.569362192313,8640.0,290,224640,-6.7121271804527,-0.32318300008773804,5e-05,0.004243018,0.9987385869026184,0.029814814814814815,250,0.2,-0.004898653049366894,0.005866389444477304,1.3088278770446777
800,27,-22714.214946111115,8640.0,291,233280,-6.7389222734945795,-0.33495208621025085,5e-05,0.0051540914,0.9990857839584351,0.029976851851851852,260,0.2,-0.004880851016517866,0.005278696801720394,1.3191035985946655
828,28,-22559.893976428575,8640.0,292,241920,-6.7720159484722,-0.3715747594833374,5e-05,0.005477476,0.9989875555038452,0.0375,270,0.2,-0.0056478866953747695,0.005012206807387648,1.331470251083374
855,29,-22422.915851793106,8640.0,292,250560,-6.803412829858285,-0.34985142946243286,5e-05,0.004587874,0.9990671873092651,0.02917824074074074,280,0.2,-0.004736266356582443,0.0036561924727909543,1.3434100151062012
884,30,-22290.606640733335,8640.0,293,259200,-6.833032804418493,-0.34502190351486206,5e-05,0.0045850375,0.9991989731788635,0.028761574074074075,290,0.2,-0.004278209749954166,0.0037625907345123035,1.3544734716415405
912,31,-22165.710832645163,8640.0,293,267840,-6.862460392139576,-0.3361988663673401,5e-05,0.0044219317,0.9990783929824829,0.03211805555555555,300,0.2,-0.00572174481133482,0.004386182724998367,1.3661948442459106
940,32,-22054.79728146875,8640.0,293,276480,-6.892926157845391,-0.35340988636016846,5e-05,0.0037719882,0.9991884827613831,0.022060185185185186,310,0.2,-0.0034683185453630158,0.004099651755144199,1.3783190250396729
968,33,-21937.90711151515,8640.0,294,285120,-6.926977507979782,-0.3498726487159729,5e-05,0.005228131,0.9990770816802979,0.036689814814814814,320,0.2,-0.005176515178754925,0.003963631971359805,1.392677903175354
996,34,-21837.164886529412,8640.0,294,293760,-6.966443926493326,-0.36960169672966003,5e-05,0.005380212,0.9991013407707214,0.03909722222222222,330,0.2,-0.0048100225196254474,0.0037566435027488127,1.4087786674499512
1024,35,-21751.270000714285,8640.0,295,302400,-7.0015017537717466,-0.3641393482685089,5e-05,0.0045618424,0.9991692304611206,0.022997685185185184,340,0.2,-0.003862742441533892,0.004182881809667581,1.4221372604370117
1052,36,-21668.760498833333,8640.0,295,311040,-7.040155643180564,-0.33630165457725525,5e-05,0.0052069724,0.9990503191947937,0.03222222222222222,350,0.2,-0.005843772860243917,0.0038630800131121993,1.4403629302978516
1080,37,-21582.123360513513,8640.0,295,319680,-7.070846634617558,-0.36643821001052856,5e-05,0.00493836,0.998820960521698,0.03625,360,0.2,-0.004504572716714055,0.004050565020836614,1.4478226900100708
1108,38,-21492.28316023684,8640.0,296,328320,-7.1014963619797316,-0.337048202753067,5e-05,0.0057299435,0.9985120296478271,0.039594907407407405,370,0.2,-0.0043361672659025146,0.004730830886228769,1.4638229608535767
1137,39,-21409.633237769227,8640.0,296,336960,-7.146199904194584,-0.35058221220970154,5e-05,0.00435365,0.9989769458770752,0.025949074074074076,380,0.2,-0.004815876475293879,0.0032906876840732165,1.4842088222503662
1166,40,-21341.489898775,8640.0,296,345600,-7.181826317045424,-0.3595733046531677,5e-05,0.0047460846,0.9991398453712463,0.0296875,390,0.2,-0.00467449514798958,0.0030060409442349166,1.4954224824905396
